latency,duration,type,marker_value,key,timestamp,marker_id
193.088315,0.000000,7,7,-1,1716508053.511976,60
196.377551,0.000000,4,4,-1,1716508056.801212,61
199.658974,0.000000,1,1,-1,1716508060.082635,62
202.557565,0.000000,4,4,-1,1716508062.981226,63
205.854614,0.000000,8,8,-1,1716508066.278275,64
208.745391,0.000000,2,2,-1,1716508069.169052,65
212.026815,0.000000,1,1,-1,1716508072.450476,66
214.925405,0.000000,3,3,-1,1716508075.349066,67
218.245893,0.000000,8,8,-1,1716508078.669554,68
221.527316,0.000000,2,2,-1,1716508081.950977,69
224.410281,0.000000,1,1,-1,1716508084.833942,70
227.691704,0.000000,2,2,-1,1716508088.115365,71
230.988753,0.000000,8,8,-1,1716508091.412414,72
233.871717,0.000000,4,4,-1,1716508094.295378,73
236.778121,0.000000,3,3,-1,1716508097.201782,74
239.661085,0.000000,7,7,-1,1716508100.084746,75
242.544050,0.000000,4,4,-1,1716508102.967711,76
245.442640,0.000000,5,5,-1,1716508105.866301,77
248.724064,0.000000,8,8,-1,1716508109.147725,78
251.622654,0.000000,3,3,-1,1716508112.046315,79
254.521245,0.000000,4,4,-1,1716508114.944906,80
257.826106,0.000000,3,3,-1,1716508118.249767,81
260.709071,0.000000,6,6,-1,1716508121.132732,82
264.006120,0.000000,3,3,-1,1716508124.429781,83
266.904711,0.000000,3,3,-1,1716508127.328372,84
269.795488,0.000000,7,7,-1,1716508130.219149,85
272.694079,0.000000,1,1,-1,1716508133.117740,86
275.592669,0.000000,8,8,-1,1716508136.016330,87
278.874092,0.000000,4,4,-1,1716508139.297753,88
281.757057,0.000000,3,3,-1,1716508142.180718,89
285.054106,0.000000,3,3,-1,1716508145.477767,90
288.757426,0.000000,1,1,-1,1716508149.181087,91
291.656017,0.000000,5,5,-1,1716508152.079678,92
294.960879,0.000000,7,7,-1,1716508155.384540,93
297.859469,0.000000,4,4,-1,1716508158.283130,94
300.758060,0.000000,1,1,-1,1716508161.181721,95
304.062922,0.000000,1,1,-1,1716508164.486583,96
306.945886,0.000000,3,3,-1,1716508167.369547,97
310.242935,0.000000,5,5,-1,1716508170.666596,98
313.539984,0.000000,5,5,-1,1716508173.963645,99
316.837033,0.000000,4,4,-1,1716508177.260694,100
319.727811,0.000000,3,3,-1,1716508180.151472,101
322.610775,0.000000,5,5,-1,1716508183.034436,102
325.509366,0.000000,5,5,-1,1716508185.933027,103
328.790789,0.000000,3,3,-1,1716508189.214450,104
331.681567,0.000000,2,2,-1,1716508192.105228,105
334.572344,0.000000,6,6,-1,1716508194.996005,106
337.877206,0.000000,1,1,-1,1716508198.300867,107
341.174255,0.000000,5,5,-1,1716508201.597916,108
344.455678,0.000000,7,7,-1,1716508204.879339,109
347.760540,0.000000,2,2,-1,1716508208.184201,110
351.041963,0.000000,3,3,-1,1716508211.465624,111
354.339012,0.000000,1,1,-1,1716508214.762673,112
357.221977,0.000000,6,6,-1,1716508217.645638,113
360.112754,0.000000,3,3,-1,1716508220.536415,114
363.011345,0.000000,2,2,-1,1716508223.435006,115
365.886497,0.000000,8,8,-1,1716508226.310158,116
369.191358,0.000000,8,8,-1,1716508229.615019,117
372.074323,0.000000,3,3,-1,1716508232.497984,118
375.355746,0.000000,8,8,-1,1716508235.779407,119
378.652795,0.000000,4,4,-1,1716508239.076456,120
381.957657,0.000000,8,8,-1,1716508242.381318,121
385.239080,0.000000,1,1,-1,1716508245.662741,122
388.520504,0.000000,3,3,-1,1716508248.944165,123
391.411281,0.000000,4,4,-1,1716508251.834942,124
394.708330,0.000000,2,2,-1,1716508255.131991,125
397.997566,0.000000,8,8,-1,1716508258.421227,126
401.286802,0.000000,8,8,-1,1716508261.710463,127
404.576038,0.000000,1,1,-1,1716508264.999699,128
407.459003,0.000000,2,2,-1,1716508267.882664,129
410.756052,0.000000,2,2,-1,1716508271.179713,130
413.639017,0.000000,2,2,-1,1716508274.062678,131
416.943879,0.000000,5,5,-1,1716508277.367540,132
420.225302,0.000000,7,7,-1,1716508280.648963,133
423.147331,0.000000,3,3,-1,1716508283.570992,134
426.444380,0.000000,1,1,-1,1716508286.868041,135
429.319532,0.000000,3,3,-1,1716508289.743193,136
432.608768,0.000000,6,6,-1,1716508293.032429,137
435.905817,0.000000,4,4,-1,1716508296.329478,138
439.195053,0.000000,3,3,-1,1716508299.618714,139
442.492102,0.000000,6,6,-1,1716508302.915763,140
445.789151,0.000000,4,4,-1,1716508306.212812,141
448.679928,0.000000,7,7,-1,1716508309.103589,142
451.953539,0.000000,2,2,-1,1716508312.377200,143
455.242775,0.000000,2,2,-1,1716508315.666436,144
458.125739,0.000000,6,6,-1,1716508318.549400,145
461.008704,0.000000,7,7,-1,1716508321.432365,146
463.891669,0.000000,7,7,-1,1716508324.315330,147
467.173092,0.000000,7,7,-1,1716508327.596753,148
470.071682,0.000000,2,2,-1,1716508330.495343,149
472.954647,0.000000,5,5,-1,1716508333.378308,150
476.259509,0.000000,1,1,-1,1716508336.683170,151
479.142473,0.000000,2,2,-1,1716508339.566134,152
482.423897,0.000000,4,4,-1,1716508342.847558,153
485.720946,0.000000,1,1,-1,1716508346.144607,154
489.010182,0.000000,4,4,-1,1716508349.433843,155
491.924398,0.000000,4,4,-1,1716508352.348059,156
494.807363,0.000000,1,1,-1,1716508355.231024,157
498.088786,0.000000,2,2,-1,1716508358.512447,158
500.987376,0.000000,3,3,-1,1716508361.411037,159
504.292238,0.000000,3,3,-1,1716508364.715899,160
507.604913,0.000000,6,6,-1,1716508368.028574,161
510.503503,0.000000,1,1,-1,1716508370.927164,162
513.409907,0.000000,7,7,-1,1716508373.833568,163
516.706956,0.000000,1,1,-1,1716508377.130617,164
519.589920,0.000000,6,6,-1,1716508380.013581,165
522.472885,0.000000,4,4,-1,1716508382.896546,166
525.777747,0.000000,3,3,-1,1716508386.201408,167
528.652899,0.000000,4,4,-1,1716508389.076560,168
531.973386,0.000000,2,2,-1,1716508392.397047,169
534.871977,0.000000,2,2,-1,1716508395.295638,170
537.754942,0.000000,8,8,-1,1716508398.178603,171
541.059803,0.000000,1,1,-1,1716508401.483464,172
544.341227,0.000000,1,1,-1,1716508404.764888,173
547.622650,0.000000,6,6,-1,1716508408.046311,174
550.919699,0.000000,7,7,-1,1716508411.343360,175
554.208935,0.000000,4,4,-1,1716508414.632596,176
557.091900,0.000000,2,2,-1,1716508417.515561,177
559.990490,0.000000,2,2,-1,1716508420.414151,178
563.287539,0.000000,4,4,-1,1716508423.711200,179
